headline,less,equal,more
Verdi legt Berufung gegen Streik-Verbot ein,1,0,0
Mülheimer Airport will Flugbetrieb bis 2034 sichern,1,0,0
Flughafen Salzburg trotz Pistensanierung mit Passagierzahlen zufrieden,1,0,0
Qatar Airways und Deutsche Bahn starten Codeshare-Vereinbarung,1,0,0
Indische Vistara gibt Verkaufsagentur für Deutschland bekannt,1,0,0
Frankfurter Flughafen knackt trotz niedrigem Wachstum 70-Millionen-Marke,1,0,0
Letzte Boeing 747 Combi von KLM wird Anfang 2021 ausgemustert,1,0,0
Lufthansa Group bleibt Maß aller Dinge unter Europas Legacy Carriern,1,0,0
Flybe kämpft ums Überleben und Lufthansas-IT ist Tüv-zertifiziert,1,0,0
Boeing-Auslieferungen brechen um die Hälfte ein,1,0,0
Verdi droht Abfertiger Acciona in Düsseldorf mit Streiks,1,0,0
Flughafen Wien präsentiert Ganzkörper-Flugsimulator Birdly in Ankunftshalle,1,0,0
Boeing-Manager redeten Lion Air Simulator-Training für Max-Piloten aus,1,0,0
TÜV Rheinland zertifiziert Lufthansas IT-Prozesse als sicher,1,0,0
Scheuer und Bahn-Chef Lutz segnen Rekordsumme für Schienen-Netz ab,1,0,0
Etihad tritt Worldwide-Programm von Easyjet bei,1,0,0
Lufthansa stationiert A320 Neos in München,1,0,0
Bodensee-Airport verzeichnete 2019 Passagierrückgang,1,0,0
Zürich mit mehr Passagieren und weniger Flugbewegungen,1,0,0
Corendon übernimmt Tel-Aviv-Route ab Nürnberg,1,0,0
Belavia fliegt ab Sommer nach Wien,1,0,0
American Airlines schickt Dreamliner nach Zürich,1,0,0
Lufthansa setzt ab kommenden Winter A340-600 nach Chicago ein,1,0,0
Icao soll Absturzuntersuchung im Iran beraten und beobachten,1,0,0
Sunexpress lässt Eintracht-Frankfurt-Fans über Sonderbemalung abstimmen,1,0,0
US-Finanzminister: Boeing-Krise beeinflusst US-Wirtschaftswachstum,1,0,0
EASA rät Flüge über Iran komplett zu vermeiden,1,0,0
Flybe steht erneut kurz vor der Insolvenz,1,0,0
Lübeck Air setzt zum Start auf München und Stuttgart,1,0,0
Easyjet macht Berlin zum Wartungszentrum und Swiss will gerochen werden,1,0,0
Airbus mit neuem Auslieferungsrekord,1,0,0
Lufthansa Group befördert 145 Millionen Passagiere in 2019,1,0,0
Oppositionelle Liste tritt gegen amtierenden Ufo-Vorstand an,1,0,0
Swiss will verstärkt eigenen Duft einsetzen,1,0,0
Ungebremstes Münchner Wachstum auf 479 Millionen Passagiere 2019,1,0,0
Lufthansa Group rechnet mit steigenden Kerosinkosten,1,0,0
Easyjet baut Line-Maintenance-Station in Berlin auf,1,0,0
Bundesregierung will Sicherheitsüberprüfung von Luftfahrtpersonal ausweiten,1,0,0
Airport Mannheim fordert Übernahme der Flugsicherungskosten durch den Bund,1,0,0
Vereinigung Cockpit fordert klarere Vorgaben für Flüge in Krisengebiete,1,0,0
Flughafen Hannover kauft Ganzkörper-Flugsimulator,1,0,0
Vier von fünf Deutschen wollen laut Umfrage weniger fliegen,1,0,0
Rostock-Laage verzeichnet drastischen Passagierrückggang,1,0,0
German Airways fliegt mit fünf Maschinen für Braathens,1,0,0
Boeing zahlt Ex-Chef Muilenburg keine Abfindung,1,0,0
David Calhoun übernimmt Chefsessel bei Boeing,1,0,0
Boeings neuer CEO und Jahreszahlen aus Frankfurt und München,1,0,0
Boeing-737-Abschuss und Tuifly-Langstrecke in Düsseldorf,1,0,0
Iran räumt Abschuss von ukrainischer Boeing ein,1,0,0
Offene Jobs bei Lufthansa Rhein Neckar Air und Air Cargo Global,1,0,0
Cargo schämt sich nicht,1,0,0
Beluga XL geht in den Liniendienst und Ryanair rechnet mit Milliardengewinn,1,0,0
Lauda rechnet mit höherem Jahresverlust als erwartet,1,0,0
Über 25 Prozent weniger Passagiere am Flughafen Weeze,1,0,0
Erster Airbus Beluga XL in Dienst gestellt,1,0,0
Blue Air gibt neue Deutschland-Routen bekannt,1,0,0
Airbus schraubt A320-Produktion in den USA hoch,1,0,0
Absturz im Iran war wohlmöglich Abschuss,1,0,0
Flughafen Düsseldorf will bis 2050 CO2-Ausstoß auf Null zurückfahren,1,0,0
Albawings kommt nach Hamburg,1,0,0
Ryanair rechnet nun doch mit Milliardengewinn,1,0,0
Flughafen Düsseldorf: Kötter nimmt nicht an Neuausschreibung teil,1,0,0
Warschau wird zum Katalysator der polnischen Flughäfen,1,0,0
Lufthansa Group setzt Iran-Flüge bis 20. Januar aus,1,0,0
Die Luftfahrt muss mit Klimaschutz und Digitalisierung wachsen,1,0,0
Ryanair fordert höhere Luftverkehrsteuer nachträglich ein,1,0,0
Airbus bleibt Großbritannien treu und Verkehrszahlen deutscher Airports,1,0,0
Airbus fertigt auch nach Brexit weiter in Großbritannien,1,0,0
Hamburg Airport mit stabilen Verkehrszahlen,1,0,0
Easa empfiehlt Meidung des irakischen Luftraums,1,0,0
Max-Krise kann auch für Airbus zum Problem werden,1,0,0
Alle IAG-Airlines wachsen 2019,1,0,0
Stuttgarter Flughafen knackt Zwölf-Millionen-Marke,1,0,0
Germania-Insolvenz lässt Passagieraufkommen in Bremen sinken,1,0,0
Weniger Passagiere am Flughafen Paderborn/Lippstadt,1,0,0
Flughafen Saarbrücken meldet gestiegene Passagierzahlen,1,0,0
Flughafen Zürich führt Dynamic Pricing bei Parkplätzen ein,1,0,0
Tuifly will Langstrecken-Operations in Düsseldorf starten,1,0,0
Air France-KLM mit mehr Passagieren und besserer Auslastung,1,0,0
Willie Walsh geht in den Ruhestand,1,0,0
Kaum Nachfrage für CO2-Kompensationsmöglichkeiten bei Lufthansa,1,0,0
Hannover rechnet nach gutem Jahr mit etwas weniger Passagieren,1,0,0
Internationales Passagierwachstum schwächelt,1,0,0
Iran will Flugdatenschreiber von abgestürzter 737 nicht an die USA übergeben,1,0,0
Austrian startet in Nürnberg und Azimuth Airlines schickt Sukhoi Super Jet nach München,1,0,0
Hahn-Air-Partner deutsche Pünktlichkeit und Passagierzahlen,1,0,0
Industrie und Forschung setzen auf verschiedenste Klima-Maßnahmen,1,0,0
Gewerkschaft warnt vor Personalengpass bei Bodenverkehrsdiensten am BER,1,0,0
Germania-Pleite verhagelt Passagierbilanz des Nürnberger Flughafens,1,0,0
Kommentar: Boeing braucht tiefgreifenden Personalwechsel,1,0,0
Deutsche Airlines schneiden im Pünktlichkeits-Vergleich schlecht ab,1,0,0
Flughafen Frankfurt verzeichnet deutlich weniger Nachtflüge,1,0,0
Köln/Bonn: Airport mit rückläufigen Passagierzahlen,1,0,0
Flughafen Düsseldorf meldet Passagierrekord für 2019,1,0,0
Auch Air France setzt Paris-Orly-München-Flüge auf,1,0,0
Hahn Air begrüßt 40 neue Partner in 2019,1,0,0
Swissport übernimmt Cargo-Handling der Lufthansa Gruppe in Belgien,1,0,0
Auswirkungen der Iran-Krise auf den Flugverkehr,1,0,0
Boeing 737-800 von Ukraine International Airlines bei Teheran abgestürzt,1,0,0
Austrian startet in Nürnberg,1,0,0
United schickt Dreamliner nach Zürich,1,0,0
Lufthansa meidet Luftraum von Irak und Iran fliegt aber weiter nach Teheran,1,0,0
Boeing empfiehlt Simulatortrainings für 737-Max-Piloten,1,0,0
Eurowings setzt noch bis zum Sommer auf Czech Airlines,1,0,0
Alitalia und Lufthansa Weeze und das Geld regionaler MRO-Markt,1,0,0
Ex-Germania-Chef Balke wegen Deals in der Vergangenheit in der Kritik,1,0,0
Planungen für Schienenanbindung von Frankfurter Terminal 3 gestartet,1,0,0
Chef von Air Dolomiti will kommerzielle Partnerschaft von Alitalia mit Lufthansa,1,0,0
Chef von Stromnetzbetreiber fordert mehr Windräder an Flughäfen,1,0,0
Lufthansa Group gibt Wien-Palma auf,1,0,0
So performte die Ryanair-Group 2019,1,0,0
Weitere Unterstützung für Flughafen Weeze durch Kreis Kleve,1,0,0
Schweizer Jugend will trotz Klimaprotesten kaum weniger fliegen,1,0,0
Lufthansa Group tankt teilweise Öko-Sprit in San Francisco,1,0,0
Holiday Europe fliegt von Nürnberg nach Dubai,1,0,0
Eurowings fliegt im Sommer nach Burgas,1,0,0
Wizz Air erhöht Chişinău-Frequenz ab Dortmund,1,0,0
Azimuth Airlines kommt mit Sukhoi Super Jet nach München,1,0,0
Turkish Airlines baut München-Angebot aus,1,0,0
Helvetic will zusätzliches Personal einstellen,1,0,0
Globaler MRO-Markt für Schmalrumpf-Flugzeuge lässt auf sich warten,1,0,0
Hyundai will Lufttaxis für Uber bauen,1,0,0
Noch keine Einigung wegen 737 Max zwischen Boeing und deutschen Airlines,1,0,0
Zwischenlager für belastete Böden am Frankfurter Flughafen nimmt weitere Hürde,1,0,0
Airbus A350 bekommt elektronisch dimmbare Fenster,1,0,0
Dortmund in den Top 10 Großauftrag für Airbus 737 Max für Buzz,1,0,0
Flughafen Dortmund stellt 2019 deutlichen Passagierrekord auf,1,0,0
Spirit bestellt 100 Flugzeuge der A320-Neo-Familie,1,0,0
Luftfahrtbranche hat ihre Klima-Hausaufgaben nicht gemacht,1,0,0
Münster/Osnabrück schrammt 2019 an der Millionen-Marke vorbei,1,0,0
Airlines sichern sich beim Ölpreis ab,1,0,0
Boeing 737 Max könnte weiteres technisches Problem haben,1,0,0
Wizz Air transportiert knapp 40 Millionen Passagiere in 2019,1,0,0
Corendon weitet Angebot in Weeze aus,1,0,0
Ufo fordert umfassende Mediation mit Lufthansa,1,0,0
Ryanairs erste 737 Max gehen nach Polen,1,0,0
Klimadebatte mit Auswirkungen auf Privatjets,1,0,0
Reiseverband-Chef: Flugtickets als Luxusgut wären sozial ungerecht,1,0,0
Fluggesellschaften überdenken ihre Wachstumspläne,1,0,0
Fluggerätmechaniker und -elektroniker Verkehrsleiter und Dispatcher gesucht,1,0,0
Lufthansa stellt Tausende ein und die DFS ihre Geschäftsführung neu auf,1,0,0
Flughäfen sind ein guter Einsatzbereich für autonome Fahrzeuge,1,0,0
Der Streit um die dritte Bahn in München,1,0,0
Lufthansa Group kündigt umfangreiche Neueinstellungen an,1,0,0
Flughafen Memmingen übertrifft Prognosen trotz zweiwöchiger Schließung,1,0,0
Verspäteter Zug zum Flug ist kein Entschädigungsgrund,1,0,0
DFS erweitert Geschäftsführung um eigenen Informatik-Bereich,1,0,0
OLeary sieht Low-Cost-Langstrecke als sicheren Verlustbringer,1,0,0
ADV erwartet 2020 schrumpfende Passagierzahlen in Deutschland,1,0,0
Berliner Flughäfen wachsen um 22 Prozent,1,0,0
Die 737-Max wird für Boeing zur Überlebensfrage,1,0,0
